cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
04f7f9f1-f602-5be8-9ff0-0efe04557932,4c62cbad-b4c9-54f1-bf55-288fa246e69b,joseph lelang,joseph mantiel wajang,Papua New Guinea,ss,70.59,REVIEW
a242202e-478b-5a43-83b9-e41a00885cb2,48864fc6-6dd8-53e9-b33d-c21dc71a7fc4,fernando alexandre,alexandre orloff,Portugal,ch,70.59,REVIEW
e596913c-6bee-572c-9253-b056bad653ec,2bff3b26-c513-5792-b627-ba2d59cf204d,yuriy petrovich trutnev,yury petrovich sinelshchikov,Russia,ru,70.59,REVIEW
dcec7de1-abdf-59fb-b307-d4eefda190be,f22bde89-64c0-543f-bb21-1bd2f2c881d5,olga borisovna lyubimova,lyudmila borisovna narusova,Russia,ru,70.59,REVIEW
2bf83e07-5387-5987-9333-0a44ebdc0a8f,12308d43-749f-508b-8260-5a4b2afbab8a,sergey sergeyevich kravtsov,gleb sergeyevich cherbov,Russia,ru,70.59,REVIEW
f21fad05-0e28-5492-a4e5-4ca30560fe5c,02a80351-7e4a-537b-9933-336ad4cf5978,vladimir aleksandrovich kolokoltsev,dmitrii aleksandrovich beloglazov,Russia,ru,70.59,REVIEW
1d3648e0-890b-5857-b494-38f5e5169785,25067c23-2fad-5c7a-8ab4-37729ad63a93,muhammad bin salman,muhammad sarwar,Saudi Arabia,pk,70.59,REVIEW
1d3648e0-890b-5857-b494-38f5e5169785,972fa102-9809-56ce-bce4-eea88da46fec,muhammad bin salman,hamza bin laden,Saudi Arabia,,70.59,REVIEW
db319bef-0ee7-5055-84fb-65ce22e909e9,5fadab19-7e78-55b0-ab16-4102bb715058,abdallah al-swaha,ali reda abdallah,Saudi Arabia,lb,70.59,REVIEW
fc726116-daf6-51fb-8807-341d8d0ce68d,01acb0eb-38bd-57b4-8434-fbf6f14f9e56,muhammad al-jadan,muhannad al-najdi,Saudi Arabia,sa,70.59,REVIEW
